Date,City,Score,Review_usage,Review_pro,Review_contra,Review_comment,Like_count,Dislike_counts,Shop_review
Месяц назад,Москва,5,Не указано,Не указано,Не обнаружено,"Телефон прекрасен. Когда я заказала данный телефон, случайно отменила заказ, но магазин пошел навстречу и привез смартфон. К сожалению, из за определенных неполадок, телефон отдать не смогли, пришлось подтверждать отмену заказа и ждать пока вернуться деньги. На следующий день деньги вернулись, я оформила телефон вновь, и мне привезли его буквально через пару часов с кучей подарков от магазина. Магазин в качестве извинений подарил стекло, чехол, а также блок
питания! Телефон оригинал, без повреждений и прочего, абсолютно новый. В общем я безумно довольна и благодарна магазину. Смело рекомендую и в будущем технику apple буду с радостью приобретать там:) телефон радует уже несколько недель 🙈
Ps: хочу отметить насколько магазин клиентоориентированности и быстро отвечал на мои вопросы, а также с легкостью был готов пойти на уступки!",1,1,From-Amazon
5 месяцев назад,Котельники,5,менее месяца,"Хорошая модель. Долго выбирал между 13, 14 и 15. Разница в цене между 13 и 14 была тысячи 3-5, а между 14 и 15 тысяч 10-15. Поэтому остановился на 14 модели для начала. Face ID после разблокировки отпечатком пальцев - просто глоток свежего воздуха. Так же заметил, что мои наушники Sony XB-900N с iPhone работают по протоколу DSEE - они раскрылись по-новому, качество звука очень близко к Hi-Res. На прошлом флагманском андроиде максимальный кодек был LDAC.",отсутствует оплата банковскими картами по NFC по всем известным причинам,"Перешёл с андроида, на котором сидел лет 10 точно. Пользовался андроид-флагманами последние лет 6, но надоела неадекватная авто-яркость и прочие микро-баги андроида с отображением уведомлений и некорректно работой популярных приложений. Ещё бесило, что после обновлений андроида могли появиться лишние рекламные приложения, которые нельзя было удалить и при их отключении они сами включались автоматически. На iOS всё работает прекрасно, 60Гц экран не смущает после 120Гц на андроиде, в будущем возможно возьму версию Про с 120Гц. Переход на iOS в целом было лучшим решением и лучшей покупкой в 23 году)",13,0,Prosto-Technika
Месяц назад,Смоленск,5,Не указано,"Все отлично ! Оригинал ! Спасибо продавцу . Отзыв пишу спустя месяц использования . Не тормозит , батарея держит заряд хорошо . Красивый . Единственное что смущало это небольшой зазор на задней крышке , между рамкой и стеклом ( может я просто придираюсь ) в 11 все было очень плотно прижато . На работе телефона никак не сказывается .","Единственное что смущало это небольшой зазор на задней крышке , между рамкой и стеклом ( может я просто придираюсь ) в 11 все было очень плотно прижато . На работе телефона никак не сказывается . Недостатком не считаю .",Я довольна покупкой на 100%,0,1,1gadget
5 месяцев назад,Выкса,5,менее месяца,"Оригинал, не активированный, не вскрытый","Их нет, айфон есть айфон","ЕСЛИ ВЫ ХОТИТЕ КУПИТЬ У ЭТОГО ПРОДАВЦА, ТО ПРОЧТИТЕ ЭТОТ ОТЗЫВ
долго сомневался, брать телефон в магазине или на маркете, так как телефон покупал в подарок и были сомнения на оригинальность и целостность товара, но на маркете он стоил на 10 тысяч дешевле, это и пугало и радовало
Но в итоге решился взять на маркете
Долго выбирал у какого продавца покупать
Продавцов много, но внушающих доверие мало
Наткнулся на этого продавца, посмотрел по отзывам, зашел в каталог магазина и там увидел что у продавца много положительных оценок и высокий рейтинг
Ну и тут я понял что нашел что искал и оформил заказ
Доставка заняла 7-8 дней
Пришел хорошо упакованный (сама коробка замотана была в пупырку потом в картон и обмотана черным полиэтиленом, и там еще был гарантийный талон)
Телефон пришел для Индии, не каких отличий от ростеста
В итоге получил новый телефон дешевле чем в магазине
Надеюсь этот отзыв кому то помог )",77,6,ID Store
Год назад,Москва,5,Не указано,"Оригинал. Пробили номер вместе с курьером. Пришёл неактивированный. Не переживайте, что он не для России. Сейчас все смартфоны делают с одинаковым диапазоном приёма сигнала, даже если он для Америки.

Очень красивый пастельный фиолетовый цвет.

Снимает хорошо, но разницы с 12 про и 13 про не ждите. Лучше не переходить с про версии на обычный 14.","Поставила бы ему 4,7 из 5.

В сумерках немного есть шумы на фото в тенях, зато не зеленит и не желтит. В этом плане ожидала большего. В 12 pro шумов меньше, но оттенок уходит в зелёный.

Функцию дублирования фото в ICloud отключила. Слишком мало место в облаке, чтоб туда дублировать файлы. Это почти бесполезная функция пока что.","Магазин WISHMASTER. Курьер приехал в тот же день. Помог номер пробить, всё отлично. Магазин советую.

Использую айфон чуть меньше месяца. После падения без чехла с метра выжил.

Зарядку держит 1,5-2 дня (чтение статей, просмотр ленты, короткие видео, мессенджеры, иногда фотографирование). Музыку я почти не слушаю. После 20% батарея НЕ слишком быстро садится, это порадовало.

После xiaomi mi 9 lite (2019) конечно разница чувствуется. Хотелось смартфон надолго с хорошей камерой, поэтому остановилась на айфоне.

Думала между 13 pro и 14. Взяла 14, потому что он на 18 тыс. примерно был дешевле. Камеры практически одинаковые, в pro версии их просто на одну больше. Операционка 14-ого будет на год дольше обновляться, значит дольше не будет лагать. И визуально мне больше нравится 14, плюс он есть в фиолетовом цвете. И трёхглазая камера в pro меня раздражает.

Зум (приближение) в 14 оптический только двойной, потом пятикратный цифровой. Даже в 12 pro цифровой зум больше. Но меня это не особенно расстроило.

Очень довольна, но при возможности лучше pro версию брать конечно. Для меня она неоправданно дорогая. Хотя я и подождала 1,5 месяца снижения цен. В итоге взяла 14-ый за 68 360₽ с одной физической симкой и двумя встроенными, 256 Gb.

Лучше не переходить с про версии на обычный 14. Разницу не почувствуете +- одно и то же.",46,12,WISHMASTER
2 месяца назад,Казань,5,менее месяца,"Ребята, девчата и так же их родители! Делюсь своими впечатлениями! Заказывали айфон 14 128gb, очень переживали, единственное что успокаивало, это рейтинг и отзывы. Хотя и отзывы могли накручивать, но живые рандомные фото не накрутишь) заказал 9 числа ночью, 14 числа вечером забрал! Телефон пришел новый, не распакованный, не активированный, как в магазине. Телефон для рынка Индии, нано и н сим. Проверили по имей, не активированный, другими словами он активируется, когда вы введете в него впервые айклауд. Телефон новый, покупкой довольны! Продавцу огромное спасибо!",Нет,"Ребят, это реально новый телефон, не пересобранный рефаб, а новый!",2,3,WISHMASTER
2 недели назад,Москва,5,Не указано,"Корпус из стекла и метала;
Идеальное приложение заметки и браузер Safari;
Падал несколько раз с высоты до метра на твердые поверхности - и ничего;
Приложение Команды предоставляет широкие возможности для автоматизации;
Заряда аккумулятора хватает на день активного использования;","Случалось, что на входящий звонок невозможно ответить, экран не реагировал ни на что (давно не было, возможно уже исправили);",Инструмент хороший и надежный. При осознанном использовании может быть крайне полезен в быту.,1,0,S.Store
4 дня назад,Кольчугино,5,Не указано,"О достоинствах яблока можно говорить вечно) бывалые знают. Единственное ну очень долго ждала в пвз, заказ шел 2 недели. Я думала хотя бы раньше доставят, но нет сборка продавца висела до момента доставки когда оставалось 3 дня. Все остальное супер, довольна как слон. Особенно порадовала зарядка, заряжаю 1 раз в сутки при всем том что я в телефоне постоянно что то делаю. Камера и звучание динамиков тоже огонь, после своего Xr это просто небо и земля.",Нет,Не указано,0,0,iBox.Store
Месяц назад,Нижний Новгород,5,Не указано,"Доставка, оригинальность",Не указано,"Быстрая доставка в срок, упаковано в коробку с пупырками и опломбированно, оригинал (серийник совпадает на коробке/телефоне и спокойно пробивается через оф сайт), без царапин и прочего, абсолютно новый и неактивированный
На счет самого телефона можно узнать в интернете
Покупала не себе, у меня самой 13, отличий почти нет, только камера немного лучше (но не сильно + с 13 айфона и следующие модели имеют автокоррекцию фотографий (отвратительную, на мой взгляд), которая исправляется только если делать серию фотографий, но тут на вкус и цвет",0,1,S.Store
2 месяца назад,Екатеринбург,5,менее месяца,"Камера, экран, интерфейс - все на уровне, Apple есть Apple 😄

Доставка приехала даже на 2 дня раньше указанного срока, упаковано все грамотно - дополнительная коробка, пупырка, поверх заводских пломб на самой коробке наклеены дополнительные от сборщиков.

Также в коробке была памятка по возврату товара ненадлежащего качества и просьба снимать процесс распаковки на видео, во избежании проблем с возвратом при обнаружении брака.","Отсутствие ApplePay, но это по независящим от продавца обстоятельствам","Многие пишут, что слабоват аккумулятор, но лично мне, при использовании «ПОЗВОНИЛ - ОТВЕТИЛ - 2 ЧАСА TikTok» в первый раз аккумулятора хватило почти на 2 суток 😄",1,0,Prosto-Technika
Неделю назад,Ульяновск,5,Не указано,"Оригинальный айфон,серийный номер бьется на официальном сайте.Впервые приобретаю себе технику эпл,в данный момент все устраивает.
Батарею держит хорошо,на день-два хватает спокойно.Камера огонь🔥 телефон работает очень шустро.К покупке рекомендую,честный продавец 👍",За время использования не выявлено.Надеюсь пользование телефоном оставит только положительные впечатления.,"Советую к покупке именно у этого продавца,если давно хотели себе айфон 14",0,0,S.Store
2 месяца назад,Белореченск,5,менее месяца,Apple,Apple в России,"С текущими ценами (заоблачными) не видел особо яркого смысла в полемике между 13 и 14 моделью. Визуально сразу со стороны видно разницу. Хотя все блогеры как из утюга кричат, что и внешний вид практически 1 в 1 и глазами этого не увидеть без сравнения. Мне было очевидно первое как только снял крышку коробки. Взял по принципу больше. Превзошёл все мои ожидания. Доволен как слон. До этого пользовался 11 и SE 3rd gen. Разница огромная даже по по процессору, несмотря на то, что они одинаковые (в последнем случае). Долго расписывать не буду. Есть возможность — 14 лучше 13. Берите. Касательно самого магазина — твёрдая пятёрка.",1,0,istore93
Месяц назад,Краснодар,5,Не указано,"за месяц использования смартфона ни разу не было проблем, зарядку держит долго, могу заряжать телефон раз в два дня при умеренном использовании, размеры удобные, в руках смотрится очень мило, в светлом цвете просто бомба)
камера передает все четко, без «замыливания» или повышенной резкости (эта проблема, кстати, была на айфоне 12), и при использовании режима камеры 0.5 перспектива не плывет)","в процессе усиленного пользования может перегреваться, когда стоит на зарядке, а так недостатков нет",Не указано,0,0,Boutique VB
